Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6
55F1579,411810,427835,3,15/05/2018,1815,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,42,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,54,Car,Driver or rider,Slight,Male,45,,,,,,,,,,,,,,,
55H1114,404376,421097,2,17/05/2018,1518,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,33,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55I1762,404480,423357,1,18/05/2018,1931,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,25,,,,,,,,,,,,,,,,,,,,,,,,,
55I1816,414085,423184,2,18/05/2018,1830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,59,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55J1548,416483,422134,2,19/05/2018,1853,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,37,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55J2098,407636,424223,2,19/05/2018,2300,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,22,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55K1261,407617,425607,2,20/05/2018,1607,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,4,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55L2017,394261,424284,2,21/05/2018,1930,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,17,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55M0801,412461,425468,2,23/05/2018,1200,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,59,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55M1519,409104,423188,2,22/05/2018,1720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,67,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
55M2071,416897,422062,2,23/05/2018,38,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,14,Car,Vehicle or pillion passenger,Slight,Male,14,,Vehicle or pillion passenger,Slight,Male,15,,Vehicle or pillion passenger,Slight,Male,16,,Driver or rider,Slight,Male,27,,Vehicle or pillion passenger,Slight,Female,25
55N1521,408115,425482,1,23/05/2018,1820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,8,,,,,,,,,,,,,,,,,,,,,,,,,
55Q0970,400415,415182,2,26/05/2018,1315,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,35,Car,Vehicle or pillion passenger,Slight,Female,36,,Driver or rider,Slight,Male,20,,Vehicle or pillion passenger,Slight,Female,21,,,,,,,,,,
55U1387,411863,427785,1,30/05/2018,1815,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,44,,,,,,,,,,,,,,,,,,,,,,,,,
55V0612,406710,424321,3,31/05/2018,1046,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,26,Car,Vehicle or pillion passenger,Slight,Male,27,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
5610656,401689,415677,4,01/06/2018,1100,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,54,Car,Vehicle or pillion passenger,Slight,Female,57,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,
5611051,411401,419615,2,01/06/2018,1405,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,43,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5611735,414352,422842,2,01/06/2018,1545,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,54,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5630280,412961,429050,2,03/06/2018,242,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,30,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5640367,408878,424927,2,04/06/2018,755,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious,Male,42,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5640948,414875,425171,3,04/06/2018,1340,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,69,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
5650808,394142,424223,3,05/06/2018,1320,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,77,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
5671714,409801,425714,2,07/06/2018,1640,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,17,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5692198,407400,425926,2,09/06/2018,2330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,45,Car,Driver or rider,Slight,Male,57,,,,,,,,,,,,,,,,,,,,
56C0930,407105,424856,2,12/06/2018,1405,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,57,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56C1054,405655,423182,1,14/06/2018,850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,10,,,,,,,,,,,,,,,,,,,,,,,,,
56C1338,406974,429774,2,12/06/2018,1658,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,48,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56D0393,409121,425241,2,13/06/2018,852,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,42,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56E0645,400187,427313,2,14/06/2018,1049,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,83,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56F1049,415384,422703,2,15/06/2018,1452,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,20,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56F1467,407029,427522,2,15/06/2018,1755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious,Male,28,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56G1182,400634,415258,2,16/06/2018,1520,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,35,Goods vehicle 7.5 tonnes mgw and over,Vehicle or pillion passenger,Slight,Female,13,,,,,,,,,,,,,,,,,,,,
56G1338,406089,423628,1,16/06/2018,1650,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Serious,Male,69,,,,,,,,,,,,,,,,,,,,,,,,,
56I0659,405701,423371,2,18/06/2018,1135,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,48,Car,Driver or rider,Slight,Male,30,,,,,,,,,,,,,,,,,,,,
56J0695,391214,426177,2,19/06/2018,1130,A,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Driver or rider,Slight,Female,36,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56K0799,393039,423189,1,20/06/2018,1250,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,73,,,,,,,,,,,,,,,,,,,,,,,,,
56K0956,414776,422788,2,20/06/2018,1415,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,38,Car,Vehicle or pillion passenger,Slight,Female,51,,,,,,,,,,,,,,,,,,,,
56M1039,400772,424860,2,22/06/2018,1431,B,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,51,Motorcycle over 125cc and up to 500cc,Vehicle or pillion passenger,Serious,Female,30,,,,,,,,,,,,,,,,,,,,
56O0150,407436,430176,3,24/06/2018,200,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,43,Car,Vehicle or pillion passenger,Slight,Male,50,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
56O0904,398065,426953,2,24/06/2018,1319,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,75,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56O1289,405875,423976,2,24/06/2018,1625,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,11,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56P1809,400255,426523,2,25/06/2018,1937,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,52,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56Q1217,406688,425923,2,26/06/2018,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Mobility Scooter,Driver or rider,Slight,Male,55,Bus or coach (17 or more passenger seats),not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56R0438,405322,420270,1,27/06/2018,715,B,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,51,,,,,,,,,,,,,,,,,,,,,,,,,
56R0589,417615,420647,1,27/06/2018,1012,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,52,,,,,,,,,,,,,,,,,,,,,,,,,
56R1098,414183,423529,2,27/06/2018,1429,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,44,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56S0814,405364,420291,2,28/06/2018,1235,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,27,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56T0401,412765,428963,2,29/06/2018,730,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,28,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56T1002,407484,424293,3,29/06/2018,929,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
56T1095,407506,424657,1,29/06/2018,1328,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,6,,,,,,,,,,,,,,,,,,,,,,,,,
56T1354,405191,422860,2,29/06/2018,1529,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,5,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
56U0788,414734,424569,3,30/06/2018,1045,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,59,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
5721915,413781,421549,2,02/07/2018,2019,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,33,Motorcycle over 125cc and up to 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5731154,416467,422063,2,03/07/2018,1537,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,45,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5731405,416824,422528,2,03/07/2018,1730,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,54,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5740392,413245,420679,2,04/07/2018,734,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,28,Car,Driver or rider,Slight,Male,21,,,,,,,,,,,,,,,,,,,,
5741082,409772,423859,2,04/07/2018,1450,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,29,Car,Driver or rider,Slight,Male,23,,,,,,,,,,,,,,,,,,,,
5751089,414788,423020,2,05/07/2018,1512,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,52,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5761064,416281,422177,2,06/07/2018,1416,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,27,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Female,33,,,,,,,,,,,,,,,,,,,,
5770613,407971,425797,2,07/07/2018,820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,16,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5772021,392124,425594,2,07/07/2018,2005,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,70,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
57E1696,409310,424615,2,14/07/2018,1915,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,57,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
57G1224,407796,424177,1,16/07/2018,1200,A,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Vehicle or pillion passenger,Slight,Female,2,,,,,,,,,,,,,,,,,,,,,,,,,
57H0345,405287,423436,2,17/07/2018,741,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,38,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
57I0434,414673,424239,1,18/07/2018,850,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,34,,,,,,,,,,,,,,,,,,,,,,,,,
57I1719,415130,422808,3,18/07/2018,1923,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,42,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
57J1579,408419,422736,2,19/07/2018,1745,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,22,Car,Driver or rider,Slight,Female,41,,,,,,,,,,,,,,,,,,,,
57J2063,414695,423140,2,19/07/2018,1800,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,15,Car,Vehicle or pillion passenger,Slight,Male,10,,Vehicle or pillion passenger,Slight,Male,16,,,,,,,,,,,,,,,
57K0916,393400,421421,2,20/07/2018,1255,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,48,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
57L0209,392752,425185,2,21/07/2018,209,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,41,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
57M1391,409990,427395,2,22/07/2018,1610,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,54,Motorcycle over 125cc and up to 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
57O0694,408096,427373,2,24/07/2018,1110,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,4,Car,Vehicle or pillion passenger,Slight,Male,6,,Vehicle or pillion passenger,Slight,Female,1,,,,,,,,,,,,,,,
57O1378,400382,415879,1,24/07/2018,1620,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,23,,Vehicle or pillion passenger,Slight,Male,20,,,,,,,,,,,,,,,,,,,,
57Q0706,406700,424760,2,26/07/2018,1105,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,38,Car,Driver or rider,Slight,Female,50,,,,,,,,,,,,,,,,,,,,
57Q1776,408336,424978,2,26/07/2018,1917,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,45,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
57R0526,400802,425242,1,27/07/2018,930,B,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Slight,Male,67,,,,,,,,,,,,,,,,,,,,,,,,,
57R1301,409864,425692,2,27/07/2018,1545,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,29,Car,Vehicle or pillion passenger,Slight,Female,7,,,,,,,,,,,,,,,,,,,,
57T0064,409775,423193,2,29/07/2018,30,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,48,Car,Vehicle or pillion passenger,Slight,Female,64,,Vehicle or pillion passenger,Slight,Female,35,,Vehicle or pillion passenger,Slight,Female,57,,Vehicle or pillion passenger,Slight,Female,30,,,,,
57T0451,409907,424473,1,08/07/2018,450,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,13,,Vehicle or pillion passenger,Slight,Female,16,,,,,,,,,,,,,,,,,,,,
5811855,397872,426801,2,01/08/2018,2000,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,41,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5821089,399472,414930,1,02/08/2018,1420,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,59,,,,,,,,,,,,,,,,,,,,,,,,,
5851091,405997,423754,1,05/08/2018,1945,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,30,,,,,,,,,,,,,,,,,,,,,,,,,
5870365,401128,427190,2,07/08/2018,718,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,64,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5881724,400802,425228,2,08/08/2018,2023,B,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Serious,Male,45,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
5891292,412578,425500,1,09/08/2018,1710,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,44,,,,,,,,,,,,,,,,,,,,,,,,,
58B0512,417800,420995,3,11/08/2018,855,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,60,Car,Vehicle or pillion passenger,Fatal,Female,78,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
58D1504,412459,425425,2,13/08/2018,1750,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Vehicle or pillion passenger,Slight,Female,47,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
58F0131,409187,425883,1,15/08/2018,130,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,26,,,,,,,,,,,,,,,,,,,,,,,,,
58H1527,407646,429913,2,17/08/2018,1742,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Vehicle or pillion passenger,Slight,Male,43,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
58I1293,395047,424561,1,18/08/2018,1520,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,6,,,,,,,,,,,,,,,,,,,,,,,,,
58J1999,414167,423936,4,19/08/2018,2211,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,23,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,
58K0262,404371,421123,1,20/08/2018,610,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Female,45,,,,,,,,,,,,,,,,,,,,,,,,,
58L1641,416761,422653,2,21/08/2018,1755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,83,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
58M1563,407599,424853,4,22/08/2018,1800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,18,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,
58M1993,414613,421684,2,22/08/2018,2136,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,40,Car,Driver or rider,Slight,Male,76,,Vehicle or pillion passenger,Slight,Female,80,,,,,,,,,,,,,,,
58O0927,399291,414890,3,24/08/2018,1345,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,47,Car,Vehicle or pillion passenger,Slight,Female,6,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
58O1004,399517,418440,1,24/08/2018,1425,Unclassified,Dry,Daylight: street lights present,Fine without high winds,M/cycle 50cc and under,Driver or rider,Slight,Male,16,,,,,,,,,,,,,,,,,,,,,,,,,
58P1039,411080,420864,2,25/08/2018,1409,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,49,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
58Q1253,412961,429052,2,26/08/2018,1613,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,38,Minibus (8 – 16 passenger seats),Vehicle or pillion passenger,Slight,Male,22,,,,,,,,,,,,,,,,,,,,
58T0966,406395,423558,2,29/08/2018,1421,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,81,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
58U0255,409844,422474,1,30/08/2018,645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Male,32,,,,,,,,,,,,,,,,,,,,,,,,,
5920988,406893,430737,2,02/09/2018,1252,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,12,Car,Vehicle or pillion passenger,Slight,Female,16,,Vehicle or pillion passenger,Slight,Male,16,,,,,,,,,,,,,,,
5921067,416491,422162,1,02/09/2018,1328,Motorway,Dry,Daylight: street lights present,Fine without high winds,Other Vehicle ,Driver or rider,Serious,Male,44,,,,,,,,,,,,,,,,,,,,,,,,,
5930341,416364,422128,3,03/09/2018,738,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Driver or rider,Slight,Male,21,Car,Driver or rider,Slight,Female,22,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,,,,,,,,,,,,,,,
